,username,name,id,description,created_at,tweet_count,public_metrics
61,mrs_jmcl,Mrs Mcl,404373115.0,"happily married to @mr_cmcl 3 children, 2 dogs, nurse. Believe in equality and peace! all views are my own!",2011-11-03T20:48:19.000Z,,
62,ArinolaEbunolu1,Arinola,1.580071047352705e+18,"Am Arinola Ogunbote, a student of school of nursing and midwifery. Abeokuta, ogun state. I love reading, travelling and listening to music.
Am jovial and simple",2022-10-12T05:42:04.000Z,,
63,Cate70801192,Cate ❤️ RIP my darling Sarge 💔,1.0420466868084284e+18,Cat lover. Cat mother to Sarge the Teenage Cat @markpassmore12. Heart failure specialist nurse. Thank you for the clapping ❤️🌈,2018-09-18T13:44:25.000Z,,
64,Rachaelcrossle9,Rachael crossley,1.5904726434043494e+18,18 years in the nhs now a district nurse only one life,2022-11-09T22:33:38.000Z,,
65,em_kibblewhite,Emily,320010992.0,🌞✨mental health nurse,2011-06-19T04:20:33.000Z,,
66,RSummerskill,Rebecca Brind,701195515.0,"Mother, Wife and Chemotherapy nurse💖",2012-07-17T14:57:07.000Z,,
67,KatyLane271285,Katy Lane,1.590463789102768e+18,"Privileged to be a Newly qualified community nurse at oldham community, passionate about making a positive difference to peoples lives ❤️❤️",2022-11-09T21:58:33.000Z,,
68,cazzacaitlin,Caitlin Feasey,1.2922480288548495e+18,"3rd year student mental health nurse @ Abertay
Views my own 🌞
I love metal, video games and cats 🐈",2020-08-08T23:55:27.000Z,,
69,Nikki_W_Bourne,Nikki Bourne (Wetson),9.330927344154706e+17,Lead nurse @MTW | Pain Service| Mum to T&I | lover of coffee & wine depending on the time of day| runner but only on Wednesdays @ HCTG Tonbridge|,2017-11-21T22:00:18.000Z,,
70,ElisaC98F,Elisa,8.193253805238845e+17,I'm a 20 year old nursing student who loves to game and loves the film Avatar ❤️😄,2017-01-11T23:29:27.000Z,,
71,Maz_Perraut,Marielle Perraut,1.5048303845125816e+18,Assistant chief nurse @whitHealth . Frog in London. Keen crafter and DIYer. Proud rat mum. All views are my own,2022-03-18T14:41:44.000Z,,
72,OlugbengaAina2,Olugbenga Adeola Aina,1.3077877842840005e+18,"Created 2 Care.
Proud to be a male nurse; the best of my kind. 💉💊🩺🩹",2020-09-20T21:04:54.000Z,,
73,BarryTCat,Barry T Cat,455541284.0,"nurse, cat, dad",2012-01-05T06:57:54.000Z,,
74,MissFlips,Rachel McCoy,21991441.0,Neonatal nurse 👶🏼 🏥   tea drinker extraordinaire 🫖,2009-02-26T08:43:52.000Z,,
