id,created_at,edit_history_tweet_ids,text,withheld,clean_text,nouns
1.2307373189625528e+18,2020-02-21 06:13:37+00:00,['1230737318962552832'],"Verse of the day
A good man brings good things out of the good stored up in his heart, and an evil man brings evil things out of the evil stored up in his heart. For the mouth speaks what… https://t.co/bz5lPqYsNX",,verse day good man brings good thing good stored heart evil man brings evil thing evil stored heart mouth speaks,day man thing heart man thing evil heart mouth 
1.2304476262832538e+18,2020-02-20 11:02:29+00:00,['1230447626283253760'],"Verse of the day
Neither Height nor Depth, nor anything else in all creation, will be able to separate us from the love of God that is in Christ Jesus our Lord.Romans 8:39… https://t.co/iFHnl56uLS",,verse day neither height depth anything else creation able separate love god christ jesus lord roman,day height depth anything creation love god christ jesus lord roman 
1.2301392654740152e+18,2020-02-19 14:37:10+00:00,['1230139265474015232'],"Before and after pictures 
Cleaning the front. Lots of litter everywhere. Now nice and clean!!! How long will it last ? #beforeandafter #litter #litterpicking #pickingupthepieces #2020… https://t.co/xXf01ttwwy",,picture cleaning front lot litter everywhere nice clean long last,picture lot clean 
1.2301054657129718e+18,2020-02-19 12:22:51+00:00,['1230105465712971777'],"At My favourite place  @justicecreamuk Having Waffle with Chocolate passion fruit and Maple and pecon ice cream. Amazing and Delicious 🍦🍽️😃
Keep the good work !!!
#Justice #Justiceuk… https://t.co/GP3tCnIlqY",,favourite place waffle chocolate passion fruit maple pecon ice cream amazing delicious keep good work,place waffle chocolate passion fruit pecon ice cream work 
1.2300350902075802e+18,2020-02-19 07:43:13+00:00,['1230035090207580160'],"Verse of the Day
Do not love the world or anything in the world. If anyone loves the world, love for the Father is not in them.
1 John 2:15 NIV ✝️📖🙏😃
#Verseoftheday #Verseencouragement… https://t.co/Sn9ZpBwnRv",,verse day love world anything world anyone love world love father john niv,day world anything world anyone world love father john niv 
1.2296572491669217e+18,2020-02-18 06:41:48+00:00,['1229657249166921729'],"Verse of the Day
Do nothing out of selfish ambition or vain conceit. Rather, in humility value others above yourselves 
Philippians 2:3 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement… https://t.co/htgUrVjOj9",,verse day nothing selfish ambition vain conceit rather humility value others philippian niv,day nothing ambition vain conceit humility value niv 
1.2292856645308785e+18,2020-02-17 06:05:16+00:00,['1229285664530878465'],"Verse of the Day
Let us not become weary in doing good, for at the proper time we will reap a harvest if we do not give up.
Galatians 6:9 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement… https://t.co/quJtqwxoNJ",,verse day let become weary good proper time reap harvest give galatian niv,day proper time niv 
1.2289251828841718e+18,2020-02-16 06:12:50+00:00,['1228925182884171776'],"Verse of the day
Therefore confess your sins to each other and pray for each other so that you may be healed. The prayer of a righteous person is powerful and effective.
James 5:16… https://t.co/vRk0etgMv9",,verse day therefore confess sin pray may healed prayer righteous person powerful effective james,day sin pray prayer person 
1.2285611155141468e+18,2020-02-15 06:06:10+00:00,['1228561115514146816'],"Verse of the day
“But blessed is the one who trusts in the Lord , whose confidence is in him.
Jeremiah 17:7 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement #Jeremiah177 #NIV #2020… https://t.co/6ahC1gyBSu",,verse day blessed one trust lord whose confidence jeremiah niv,day trust lord confidence jeremiah niv 
1.2282057895898276e+18,2020-02-14 06:34:13+00:00,['1228205789589827589'],"Verse of the day
Love is patient, love is kind. It does not envy, it does not boast, it is not proud.
1 Corinthians 13:4 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement #1Corithians134… https://t.co/uryPbG68Ah",,verse day love patient love kind doe envy doe boast proud corinthian niv,day patient love kind doe envy doe boast niv 
1.228077238287061e+18,2020-02-13 22:03:24+00:00,['1228077238287060992'],"#Prayer

Grow in God always as,

God understands your pains
God understands your needs
God understands your tension
God understands your troubles
God understands your mistakes
God has solutions for everything
Father Jesus Holy Spirit One God",,grow god always god understands pain god understands need god understands tension god understands trouble god understands mistake god solution everything father jesus holy spirit one god,god tension god trouble solution everything father jesus holy spirit god 
1.228077074541314e+18,2020-02-13 22:02:45+00:00,['1228077074541314048'],@DaveTannerRadio  Listening to your show can't wait!!!,,listening show can't wait,show 
